# Lista de fotos esperadas para Pedidos Famat
# Colocá cada foto en images/productos/ con el nombre indicado (jpg recomendado).
# También se aceptan .webp o .png si renombrás o ajustás luego.
# Total: 342 productos

saca-hoja-p-pileta.jpg  |  producto  |  LINEA PILETA  |  Saca hoja P/pileta
saca-hoja-p-pileta-bolsa.jpg  |  producto  |  LINEA PILETA  |  Saca hoja P/pileta bolsa
manguera-flotante-corrugada-x-metro-5mts-o-10mts.jpg  |  producto  |  LINEA PILETA  |  Manguera flotante corrugada x metro 5mts o 10mts
cabo-telescopico-3-6-mts.jpg  |  producto  |  LINEA PILETA  |  Cabo telescopico 3,6 mts
cabo-aluminio-p-saca-hojas.jpg  |  producto  |  LINEA PILETA  |  Cabo aluminio p/saca hojas
barrefondo-8-ruedas.jpg  |  producto  |  LINEA PILETA  |  Barrefondo 8 ruedas
barrefondo-media-luna.jpg  |  producto  |  LINEA PILETA  |  Barrefondo media luna
boya-hongo-p-piletas-p-200.jpg  |  producto  |  LINEA PILETA  |  Boya hongo P/piletas (P/200)
boya-hongo-pileta-lona-p-50.jpg  |  producto  |  LINEA PILETA  |  Boya hongo Pileta lona (P/50)
boya-grande-c-regulador-p-200.jpg  |  producto  |  LINEA PILETA  |  Boya grande C/regulador (P/200)
boya-grande-satelital-p-200.jpg  |  producto  |  LINEA PILETA  |  Boya grande satelital (P/200)
boya-chica-satelital-p-50.jpg  |  producto  |  LINEA PILETA  |  Boya chica satelital (P/50)
plumero-de-pabilo-blanco.jpg  |  producto  |  LINEA PLUMEROS  |  Plumero de pabilo blanco
plumero-algodon-hilo-grueso.jpg  |  producto  |  LINEA PLUMEROS  |  Plumero algodon hilo grueso
plumero-algodon-hilo-super-grueso.jpg  |  producto  |  LINEA PLUMEROS  |  Plumero algodon hilo super grueso
